"","score","text","polarity"
"1",1,"Massive self goal for the grand old party of India! Yes please vote for the said party and the said party is… https://t.co/ACskBZeDJa","positive"
"2",-1,"@ShashiTharoor @SalmanSoz @AatishTaseer @INCIndia The same trash rag has another article too","negative"
"3",-1,"@RahulGandhi The REAL issue country facing is corruption, votebank politics and your family/party @INCIndia synonym… https://t.co/Ou2lRymlvZ","negative"
"4",0,"RT @HarbirSingh_: From Salman Khurshid's book ""At home in India"" where he speaks of the ""terrible satisfaction amongst  Muslims"" about Raji…","neutral"
"5",0,"RT @HarbirSingh_: From Salman Khurshid's book ""At home in India"" where he speaks of the ""terrible satisfaction amongst  Muslims"" about Raji…","neutral"
"6",0,"RT @baburajvarma: SC hasn't dismissed any litigation by Dr @Swamy39 nor it has dismissed or nullified the MHA notice to @RahulGandhi it  ju…","neutral"
"7",0,"@INCIndia should make #HuaTohHua as their slogan after their shameful defeat on 23rd May 2019… https://t.co/da78MovzS5","neutral"
"8",0,"RT @baburajvarma: SC hasn't dismissed any litigation by Dr @Swamy39 nor it has dismissed or nullified the MHA notice to @RahulGandhi it  ju…","neutral"
"9",0,"RT @HarbirSingh_: From Salman Khurshid's book ""At home in India"" where he speaks of the ""terrible satisfaction amongst  Muslims"" about Raji…","neutral"
"10",0,"Last majority PM of @INCIndia. Most of Rahul “think tank” is from his cabinet or the sons of his cabinet. Let… https://t.co/sNX0JSThCM","neutral"
"11",0,"RT @HarbirSingh_: From Salman Khurshid's book ""At home in India"" where he speaks of the ""terrible satisfaction amongst  Muslims"" about Raji…","neutral"
"12",0,"RT @HarbirSingh_: From Salman Khurshid's book ""At home in India"" where he speaks of the ""terrible satisfaction amongst  Muslims"" about Raji…","neutral"
"13",-2,"RT @VMuppi: here come the full blow of sabotage to @INCIndia by @sampitroda 

Look sir @RahulGandhi I am not a celebrity. Many hi-fi folks…","negative"
"14",1,"RT @Tarapur164: @sandycena10 @boxervijender @priyankagandhi @INCIndia @DelhiPYC @INCDelhi @MahilaCongress He is with right party, if you ar…","positive"
"15",-1,"RT @VMuppi: and sir @RahulGandhi ji this aunty @NMenonRao , who is a @INCIndia sympathizer is also crying:
https://t.co/JASKwJFiqf

poor th…","negative"
"16",0,"RT @VMuppi: Now shri @RahulGandhi ji,  your statement below 
https://t.co/brGMI1OR3d

would not be necessary. Why did you outsource the app…","neutral"
"17",0,"""Hua to Hua"" remark made by @sampitroda regarding #SikhGenocide1984 is actually @INCIndia party line of thinking as… https://t.co/ZPcwdC4aC2","neutral"
"18",0,"From Salman Khurshid's book ""At home in India"" where he speaks of the ""terrible satisfaction amongst  Muslims"" abou… https://t.co/yEElTFeON0","neutral"
"19",-1,"RT @ShashiTharoor: Superbly well-written piece on NaMo by @AatishTaseer, but unduly pessimistic about the choice in these elections: I do b…","negative"
"20",-1,"RT @Sushruta12: The Gandhi family ecosystem is again trying to salvage the damage done by #SamPitroda @_sabanaqvi or @RanaAyyub are not agh…","negative"
